aerodrome,Aérodrome
&quot;yes&quot;,Bâtiment
bridleway,Chemin pour cavaliers
bus_guideway,Voie de bus guidée
bus_stop,Arrêt de bus
byway,Route secondaire
construction,Route en construction
cycleway,Piste cyclable
distance_marker,Borne kilométrique
emergency_access_point,Point d'accès d'urgence
footway,Chemin piéton
ford,Gué
gate,Portail
living_street,Rue résidentielle
minor,Route mineure
motorway,Autoroute
motorway_junction,Jonction d'autoroutes
motorway_link,Bretelle autoroutière
path,Chemin
pedestrian,Chemin piéton
platform,Quai
primary,Route principale
primary_link,Route principale
raceway,Circuit
residential,Rue Résidentiel
road,Route
secondary,Route secondaire
secondary_link,Route secondaire
service,Voie de service
services,Aire de service
steps,Escalier
stile,Échalier
tertiary,Route tertiaire
track,Chemin
trail,Piste
trunk,Voie express
trunk_link,Bretelle de Voie express
unclassified,Route mineure
unsurfaced,Route non revêtue
archaeological_site,Site archéologique
battlefield,Champ de bataille
boundary_stone,Borne frontière
building,Bâtiment
castle,Château
church,Église
house,Maison
icon,Icône
manor,Manoir
memorial,Mémorial
mine,Mine
monument,Monument commémoratif
museum,Musée
ruins,Ruines
tower,Tour
wayside_cross,Croix de chemin
wayside_cross,Calvaire
wayside_shrine,Oratoire
wreck,Épave
allotments,Jardins familiaux
basin,Bassin
brownfield,Terrain rasé
cemetery,Cimetière
commercial,Zone tertiaire
conservation,Zone préservée
construction,Zone en construction
farm,Zone agricole
farmland,Terrains agricoles
farmyard,Bâtiments de ferme
forest,Forêt
grass,Zone herborée
greenfield,Zone de construction future
industrial,Zone industrielle
landfill,Décharge
meadow,Prairie
military,Zone militaire
mine,Mine abandonnée
mountain,Montagne
nature_reserve,Réserve naturelle
orchard,Verger
park,Parc
piste,Piste
plaza,Plaza
quarry,Carrière
railway,Voie ferrée
recreation_ground,Aire de jeux
reservoir,Réservoir
residential,Zone résidentielle
retail,Zone commerciale
village_green,Village green
vineyard,Vignoble
wetland,Zone humide
wood,Bois
beach_resort,Station balnéaire
common,Espace d'accès libre
fishing,Zone de pêche
garden,Jardin
golf_course,Terrain de golf
ice_rink,Patinoire
marina,Port de plaisance
miniature_golf,Golf miniature
nature_reserve,Réserve naturelle
park,Parc
pitch,Terrain de sport
playground,Jeux pour enfants
slipway,Cale de lancement
sports_centre,Centre sportif
stadium,Stade
swimming_pool,Piscine
track,Piste de sport
water_park,Parc aquatique
bay,Baie
beach,Plage
cape,Cap
cave_entrance,Entrée de grotte
channel,Canal
cliff,Falaise
coastline,Littoral
crater,Cratère
feature,Élément
fell,Fell
fjord,Fjord
geyser,Geyser
glacier,Glacier
grassland,Prairie
lake,Lac
lava,Coulée de lave
heath,Lande
hill,Colline
island,Île
land,Terre
marsh,Marécage
moor,Lande
mud,Boue
peak,Sommet
point,Pointe
reef,Récif
ridge,Crête
river,Rivière
rock,Roche
sand,Sable
scree,Éboulis
scrub,Broussailles
shoal,Haut-fond
spring,Source
stone,Rocher isolé
strait,Détroit
tree,Arbre
valley,Vallée
volcano,Volcan
water,Eau
wetland,Zone humide
wetlands,Zones humides
wood,Forêt
city,Ville
country,État
county,Comté
farm,Ferme
hamlet,Hameau
house,Maison
houses,Maisons
island,Île
islet,Îlot
locality,Lieu-dit
moor,Maure
municipality,Municipalité
postcode,Code postal
region,Pays
sea,Mer
state,Région
subdivision,Subdivision
suburb,Quartier
town,Ville
unincorporated_area,Lieu non organisé
village,Village
abandoned,Voie ferrée abandonnée
construction,Voie ferrée en construction
disused,Voie ferrée désaffectée
disused_station,Gare désaffectée
funicular,Voie de funiculaire
halt,Gare ferroviaire (halte)
historic_station,Arrêt de train historique
junction,Jonction ferroviaire
level_crossing,Passage à niveau
light_rail,Métro léger
monorail,Monorail
narrow_gauge,Chemin de fer à voie étroite
platform,Quai
preserved,Voie ferrée touristique
spur,Voie de connexion
station,Gare ferroviaire
subway,Métro
subway_entrance,Bouche de métro
switch,Aiguillage
tram,Tramway
tram_stop,Arrêt de tram
yard,Voie de triage
alcohol,Magasin de boissons alcoolisées
apparel,Magasin d'habillement
art,Boutique d'art
bakery,Boulangerie
beauty,Salon de beauté
beverages,Magasin de boissons
bicycle,Magasin de vélos
books,Librairie
butcher,Boucher
butcher,Boucherie - Charcuterie
car,Magasin de voitures
car_dealer,Vendeur de voitures
car_parts,Pièces d'automobile
car_repair,Atelier de réparation automobile
carpet,Magasin de tapis
charity,Magasin de bienfaisance
chemist,Magasin de produits d'hygiène
clothes,Magasin de vêtements
computer,Magasin informatique
confectionery,Confiserie
convenience,Épicerie
copyshop,Magasin de photocopies
cosmetics,Magasin de cosmétiques
department_store,Grand magasin
discount,Magasin discount
doityourself,Magasin de bricolage
drugstore,Pharmacie
dry_cleaning,Nettoyage à sec
dry_cleaning,Pressing
electronics,Magasin d'électronique
estate_agent,Agence immobilière
farm,Magasin de produits agricoles
fashion,Magasin de mode
fish,Poissonnerie
florist,Fleuriste
food,Magasin d'alimentation
funeral_directors,Pompes funèbres
furniture,Magasin d'ameublement
gallery,Galerie
garden_centre,Jardinerie
general,Magasin généraliste
gift,Boutique de cadeaux
greengrocer,Marchand de fruits et légumes
grocery,Épicerie
hairdresser,Coiffeur
hardware,Quincaillerie
hifi,Magasin Hi-Fi
insurance,Assurance
jewelry,Bijouterie
kiosk,Kiosque
laundry,Laverie
mall,Galerie marchande
market,Marché
mobile_phone,Magasin de téléphones mobiles
motorcycle,Magasin de moto
music,Magasin de musique
newsagent,Marchand de journaux
optician,Opticien
organic,Magasin bio
outdoor,Magasin d'activités de plein air
pet,Magasin d'animaux
photo,Magasin de photographie
salon,Salon
shoes,Magasin de chaussures
shopping_centre,Centre commercial
sports,Magasin de sport
stationery,Papeterie
supermarket,Supermarché
toys,Magasin de jouets
travel_agency,Agence de voyage
video,Magasin de vidéos
wine,Caviste
alpine_hut,Refuge
artwork,Œuvre d’art
attraction,Attraction touristique
bed_and_breakfast,Gîte
cabin,Hutte
camp_site,Camping
caravan_site,Aire de camping-car
chalet,Meublé de tourisme
guest_house,Chambre d'hôtes
hostel,Auberge de jeunesse
hotel,Hôtel
information,Informations touristiques
lean_to,Stand
motel,Motel
museum,Musée
picnic_site,Site de pique-nique
theme_park,Parc à thème
valley,Vallée
viewpoint,Point de vue
zoo,Zoo
boatyard,Cale sèche
canal,Canal
connector,Connexion hydrographique
dam,Barrage
derelict_canal,Canal de délaissement
ditch,Fossé
dock,Dock
drain,Canal de drainage
lock,Écluse
lock_gate,Porte d'écluse
mineral_spring,Source d'eau minérale
mooring,Amarrage
rapids,Rapides
river,Rivière
riverbank,Lit de rivière
stream,Ruisseau
wadi,Oued
water_point,Point d'eau
waterfall,Chute d'eau
weir,Barrage
boutique,Boutique de mode
fabric,Magasin de tissus
fabrics,Magasin de tissus
glaziery,Vitrier
hearing_aids,Audioprothésiste
massage,Massage
money_lender,Usurier
pastry,Pâtisserie
pawnbroker,Mont-de-piété
seafood,Poissonnerie
second_hand,Magasin de produits d'occasion
tattoo,Salon de tatouage
variety_store,Bazar
baby_hatch,Tour d'abandon
enforcement_check,Contrôle routier
enforcement_maxheight,Contrôle de limitation de hauteur
enforcement_maxspeed,Contrôle de limitation de vitesse
enforcement_mindistance,Contrôle de distance entre véhicules
enforcement_traffic_signals,Contrôle de franchissement de feu rouge
public_transport_platform,Transport en commun (attente des voyageurs)
public_transport_station,Transport en commun (gare)
railway_station,Gare ferroviaire
speed_camera,Radar automatique
stop_position,Transport en commun (arrêt du véhicule)
bird_hide,Observatoire ornithologique
dance,Salle de danse
dog_park,Parc pour chiens
clock,Horloge
bollard,Borne
cattle_grid,Passage canadien
city_wall,Remparts
cycle_barrier,Chicane
fence,Clôture
lift_gate,Barrière levante
retaining_wall,Mur de soutènement
toll_booth,Barrière de péage
turnstile,Tourniquet
wall,Mur
traffic_calming_bump,Ralentisseur (dos d'âne)
traffic_calming_chicane,Ralentisseur (chicane)
traffic_calming_choker,Ralentisseur (écluse)
traffic_calming_cushion,Ralentisseur (coussin berlinois)
traffic_calming_hump,Ralentisseur (dos d'âne arrondi)
traffic_calming_rumble_strip,Ralentisseur (bandes rugueuses)
traffic_calming_table,Ralentisseur (plateau)
traffic_calming_yes,Ralentisseur
bbq,Barbecue
biergarten,Biergarten
adit,Galerie de mine
beacon,Signal
breakwater,Brise-lames
crane,Grue
cutline,Layon
embankment,Remblai
groyne,Épi
lighthouse,Phare
mineshaft,Puits de mine
petroleum_well,Puits de pétrole
pier,Ponton
pipeline,Canalisation
power_cable_distribution_cabinet,Armoire électrique
power_generator,Générateur électrique
power_sub_station,Poste électrique
reservoir_covered,Réservoir d'eau enterré
surveillance,Caméra de surveillance
survey_point,Point géodésique
wastewater_plant,Station d'épuration
water_dock,Bassin à flot
water_lock_gate,Porte d'écluse
water_mill_pond,Retenue (moulin)
water_tower,Château d'eau
water_turning_point,Point de retournement pour bateaux
water_weir,Seuil en rivière
water_well,Puits
water_works,Usine d'eau potable
watermill,Moulin à eau
windmill,Moulin à vent
works,Usine
accountant,Comptable
architect,Architecte
company,Entreprise
employment_agency,Agence d'emploi
government,Administration publique
it,Technologies de l'information et de la communication
lawyer,Juriste
ngo,ONG
quango,Autorité administrative indépendante
research,Centre de recherche
telecommunication,Entreprise de télécommunications
travel_agent,Agence de voyages
acces_point,Point d'accès
grit_bin,Bac à sel
helipad,Hélisurface
rail,Voie ferrée
railway_abandoned,Voie ferrée déposée
railway_buffer_stop,Heurtoir
railway_construction,Voie ferrée en construction
railway_crossing,Passage piéton sur voie ferrée
railway_disused,Voie ferrée inutilisée
railway_funicular,Funiculaire
railway_level_crossing,Passage à niveau
railway_monorail,Monorail
railway_narrow_gauge,Voie ferrée étroite
railway_platform,Quai de gare
railway_preserved,Voie ferrée touristique
railway_turntable,Plaque tournante
terminal,Terminal aéroportuaire
turning_circle,Rond-point interne
windsock,Manche à air
hedge,Haie
internet_access_public,Accès internet public
internet_access_service,Cybercafé
internet_access_terminal,Accès internet sur ordinateur
internet_access_wifi,Accès internet par Wi-Fi
internet_access_wired,Accès internet par ethernet
internet_access_wlan,Accès internet par Wi-Fi (WLAN)
internet_access_yes,Accès internet
bitcoin_yes,Paiement par bitcoins
continent,Continent
ocean,Océan
isolated_dwelling,Habitation isolée
desert,Désert
elevation,Altitude
salt_pond,Marais salants
mast,Mât
neighbourhood,Quartier
sally_port,Porte fortifiée
city_gate,Porte de ville
swimming_pool,Piscine
swimming,Natation
soccer,Football
10pin,Bowling américain
9pin,Bowling à 9 quilles
archery,Tir à l'arc
athletics,Athlétisme
australian_football,Football australien
baseball,Baseball
basketball,Basket-ball
beachvolleyball,Beach-volley
boules,Jeu de boules
bowls,Boulingrin
canoe,Canoë-kayak
chess,Échecs
climbing,Escalade
cricket,Cricket
cricket_nets,Cricket (filets d'entraînement)
croquet,Croquet
cycling,Cyclisme
diving,Plongeon
dog_racing,Courses de chiens
equestrian,Sport équestre
golf,Golf
gymnastics,Gymnastique
hockey,Hockey
horse_racing,Courses hippiques
ice_stock,Eisstock
korfball,Korfball
motor,Sport mécanique
multi,Multisports
orienteering,Course d'orientation
paddle_tennis,Padel
paragliding,Parapente
pelota,Pelote basque
racquet,Sport de raquette
rowing,Aviron
rugby,Rugby
scuba_diving,Plongée sous-marine
shooting,Tir
skateboard,Skateboard
skating,Patin à glace
skiing,Ski
table_tennis,Tennis de table
team_handball,Handball
tennis,Tennis
toboggan,Toboggan
volleyball,Volley-ball
school,Lycée
school,Collège
school,Établissement scolaire
pond,Étang
picnic_table,Table de pique-nique
social_facility,Service social
tobacco,Débit de tabac
tobacco,Tabac
fishmonger,Poissonnerie
shoemaker,Cordonnier
tailor,Couturier
deli,Épicerie fine
billboard,Affichage publicitaire
railway_signal,Signal ferroviaire
money_transfer,Transfert d'argent
fish_pass,Passe à poissons
chain,Chaîne
tomb,Tombe
monastery,Monastère
parking_entrance,Entrée de parking
flagpole,Mât de drapeau
obelisk,Obélisque
antenna,Antenne
communications_tower,Tour de télécommunication
chimney,Cheminée
telescope,Télescope
observatory,Observatoire
aerialway_cable_car,Téléphérique
aerialway_chair_lift,Télésiège
aerialway_drag_lift,Téléski
aerialway_gondola,Télécabine
aerialway_goods,Transport de biens par câble aérien
aerialway_mixed_lift,Télécabines et télésièges
aerialway_station,Station de transport aérien par câble
aeroway_apron,Aérodrome : aire de trafic
aeroway_gate,Porte d'embarquement
aeroway_runway,Aérodrome : piste
aeroway_taxiway,Aérodrome : voie de circulation
cheese,Fromagerie
railway_dismantled,Voie ferrée disparue
railway_razed,Voie ferrée disparue
fort,Fort
access_point,Point d'accès
found,Trouvé
not found,Non trouvé
airfield,Base aérienne
barracks,Caserne
danger_area,Zone d'exclusion
naval_base,Base navale
range,Champ de tir
charging_station,Station de recharge
parking_space,Place de parking
shower,Douche publique
compressed_air,Station de gonflage des pneumatiques
airport,Aéroport
harbour,Port
hackerspace,Hacklab
musical_instrument,Magasin d'instruments de musique
music,Disquaire
brewery,Brasserie
carpenter,Charpentier
electrician,Électricien
key_cutter,Reproduction de clefs
locksmith,Serrurier
photographer,Photographe
plumber,Plombier
watchmaker,Horloger
swing_gate,Barrière pivotante
height,Hauteur
religion,Religion
christian,Christianisme
muslim,Islam
buddhist,Bouddhisme
hindu,Hindouisme
jewish,Judaïsme
shinto,Shintoïsme
taoist,Taoïsme
sikh,Sikhisme
aed,Défibrillateur automatisé externe
defibrillator,Défibrillateur automatisé externe
association,Association
foundation,Fondation
physician,Cabinet médical
coworking_space,Espace de travail partagé
educational_institution,Établissement d'enseignement
moving_company,Entreprise de déménagement
newspaper,Presse
notary,Notaire
publisher,Éditeur
storage_tank,Cuve de stockage
motorcycle_parking,Parking pour motos
gasometer,Gazomètre
full-height_turnstile,Tourniquet pleine hauteur
beacon_cardinal,Marque cardinale (balise fixe)
beacon_lateral,Marque latérale (balise fixe)
beacon_safe_water,Marque d'eaux saines (balise fixe)
beacon_special_purpose,Marque spéciale (balise fixe)
buoy_cardinal,Marque cardinale (balise flottante)
buoy_installation,Bouée de chargement/déchargement
buoy_isolated_danger,Marque de danger isolé (balise flottante)
buoy_lateral,Marque latérale (balise flottante)
buoy_safe_water,Marque d'eaux saines (balise flottante)
buoy_special_purpose,Marque spéciale (balise flottante)
daymark,Amer
light,Feu
light_float,Bateau-feu (petit)
light_vessel,Bateau-feu
light_major,Feu majeur
light_minor,Feu mineur
notice,Informations
dry_dock,Forme de radoub
dolphin,Duc d'Albe
anchorage,Mouillage
anchor_berth,Poste de mouillage
berth,Poste d'amarrage
bridge,Pont
small_craft_facility,Service pour embarcations légères
fog_signal,Signal de brume
moat,Douves
bare_rock,Roche à nu
dyke,Digue
floating_dock,Dock flottant
harbour_basin,Bassin portuaire
landmark,Point de repère
pile,Pieu
radar_transponder,Transpondeur radar
radio_station,Radiophare
topmark,Voyant
coast_guard,Garde-côtes
perfumery,Parfumerie
sinkhole,Doline
communication,Tour de télécommunication
sanatorium,Sanatorium
resort,Station touristique
