aerodrome,Letisko
barrier_stile,Schodíky cez ohradu
tertiary,Cesta III. triedy
track,Poľná cesta
trunk,Rýchlostná cesta
trunk_link,Prípojka rýchlostnej cesty
unclassified,Neklasifikovaná cesta
unsurfaced,Nespevnená cesta
education,Vzdelávanie
education_college,Stredná škola
education_kindergarten,Materská škola
education_library,Knižnica
education_school,Škola
education_university,Univerzita
historic_archaeological_site,Archeologické nálezisko
historic_battlefield,Bojisko
historic_boundary_stone,Hraničný kameň
historic_building,Budova
historic_castle,Hrad
historic_manor,Šľachtické sídlo
historic_memorial,Pomník
historic_mine,Baňa
historic_monument,Pamätník
historic_museum,Múzeum
historic_ruins,Ruina
historic_wayside_cross,Božie muky
historic_wayside_shrine,Malá kaplnka pri ceste
historic_wreck,Vrak
landuse_allotments,Záhradkárska osada
landuse_basin,Vodná nádrž
landuse_cemetery,Cintorín
landuse_commercial,Obchodná štvrť
landuse_construction,Stavba
landuse_farm,Farma
landuse_farmyard,Poľnohospodárske družstvo
landuse_farmland,Poľnohospodárska pôda
landuse_forest,Les
landuse_grass,Tráva
landuse_industrial,Priemyselná oblasť
landuse_landfill,Skládka odpadu
landuse_meadow,Lúka
landuse_military,Vojenský priestor
landuse_mine,Baňa
landuse_mountain,Hora
landuse_nature_reserve,Prírodná rezervácia
landuse_piste,Zjazdovka
landuse_plaza,Námestie
landuse_quarry,Lom
landuse_railway,Železnica
landuse_residential,Obytná oblasť
landuse_retail,Obchodná zóna
landuse_village_green,Verejná zeleň
landuse_vineyard,Vinica
leisure_common,Verejné priestranstvo
leisure_fishing,Rybolov (športový)
leisure_dog_park,Výbeh pre psy
leisure_garden,Záhrada
leisure_golf_course,Golfové ihrisko
leisure_ice_rink,Umelé klzisko
leisure_marina,Prístav pre jachty
leisure_miniature_golf,Mini golf
leisure_nature_reserve,Prírodná rezervácia
leisure_park,Park
leisure_pitch,Športové ihrisko
leisure_playground,Detské ihrisko
leisure_recreation_ground,Rekreačná oblasť
leisure_slipway,Lodný sklz
leisure_sports_centre,Športové stredisko
leisure_swimming_pool,Bazén
leisure_stadium,Štadión
leisure_track,Športová dráha
leisure_water_park,Aquapark
natural_bay,Zátoka/záliv
natural_beach,Pláž
natural_cape,Mys
natural_cave_entrance,Vstup do jaskyne
natural_channel,Kanál
natural_cliff,Útes/kamenná stena
natural_coastline,Pobrežie
natural_crater,Kráter
natural_feature,Prírodný útvar
natural_fell,Horská pastvina
natural_fjord,Fjord
natural_geyser,Gejzír
natural_glacier,Ľadovec
natural_heath,Vresovisko
natural_hill,Kopec
natural_island,Ostrov
natural_marsh,Bažina
natural_moor,Vysokohorská pustatina
natural_mud,Bahno
natural_peak,Vrchol
natural_point,Bod
natural_reef,Morský útes
natural_ridge,Hrebeň
natural_river,Rieka
natural_rock,Skala
natural_scree,Sutina
natural_scrub,Rúbanisko
natural_shoal,Plytčina
natural_spring,Prameň
natural_strait,Úžina
natural_tree,Strom
natural_valley,Dolina
natural_volcano,Sopka
natural_water,Voda
natural_wetland,Mokrina
natural_wetlands,Mokrina
natural_wood,Les
administrative_city,Mesto nad 100 tis.
administrative_country,Štát
administrative_county,Okres
administrative_hamlet,Osada do 200 (Samota)
administrative_island,Ostrov
administrative_islet,Ostrovček
administrative_locality,Oblasť
administrative_municipality,Obce so spojenou administratívou
administrative_region,Región
administrative_sea,More
administrative_state,Štát
administrative_suburb,Mestský obvod
administrative_subdivision,Pododdelenie
administrative_town,Mesto 10 tis.-100 tis.
administrative_village,Obec 200-10 tis.
postcode,PSČ
unincorporated_area,Nezaradená oblasť
transportation_railway_abandoned,Opustená železnica
transportation_railway_construction,Železnica vo výstavbe
transportation_railway_crossing,Železničný priechod
transportation_railway_disused,Nepoužívaná železnica
transportation_railway_disused_station,Nepoužívaná železničná stanica
transportation_railway_funicular,Lanová dráha
transportation_railway_halt,Zastávka vlaku
transportation_railway_historic_station,Zastávka historickej železnice
transportation_railway_junction,Železničný uzol
transportation_railway_level_crossing,Železničný prejazd
transportation_railway_light_rail,Ľahká železnica
transportation_railway_monorail,Jednokoľajka
transportation_railway_narrow_gauge,Úzkokoľajná železnica
transportation_railway_platform,Železničné nástupište
transportation_railway_preserved,Historická železnica
transportation_railway_proposed,Navrhovaná železnica
transportation_railway_spur,Železničná vlečka
transportation_railway_station,Železničná stanica
transportation_railway_subway,Stanica metra
transportation_railway_subway_entrance,Vchod do metra
transportation_railway_switch,Železničná výhybka
transportation_railway_tram,Električka
transportation_railway_tram_stop,Zastávka električky
transportation_railway_yard,Železničné depo
shop,Obchod
shop_alcohol,Alkohol
shop_antiques,Starožitnosti
shop_apparel,Odevy
shop_art,Obchod s umením
shop_baby_goods,Potreby pre bábätká
shop_bakery,Pekáreň
shop_beauty,Salón krásy
shop_beverages,Občerstvenie
shop_bicycle,Obchod s bicyklami
shop_bookmaker,Stávková kancelária
shop_books,Kníhkupectvo
shop_boutique,Butik
shop_butcher,Mäsiarstvo
shop_car,Obchod s autami
shop_car_dealer,Obchod s autami
shop_car_parts,Autodiely
shop_car_repair,Autoservis
shop_carpet,Obchod s kobercami
shop_charity,Charitatívny obchod
shop_chemist,Drogéria
shop_clothes,Obchod s konfekciou
shop_computer,Obchod s počítačmi
shop_confectionery,Cukráreň
shop_convenience,Malé potraviny
shop_copyshop,Kopírovanie
shop_deli,Delikatesy
shop_department_store,Obchodný dom
shop_doityourself,Urob si sám
shop_drugstore,Lekáreň
shop_dry_cleaning,Chemická čistiareň
shop_electronics,Elektro
shop_erotic,Sexshop
shop_estate_agent,Realitná kancelária
shop_fabric,Látky
shop_farm,Poľnonákup
shop_fish,Obchod s rybami
shop_fishing,Rybárske potreby
shop_florist,Kvetinárstvo
shop_food,Obchod s potravinami
shop_funeral_directors,Pohrebníctvo
shop_furniture,Nábytok
shop_gallery,Galéria
shop_garden_centre,Záhradnícke centrum
shop_general,Zmiešaný tovar
shop_gift,Suveníry/darčeky
shop_greengrocer,Ovocie/Zelenina
shop_grocery,Potraviny
shop_hairdresser,Kaderníctvo/holičstvo
shop_hardware,Železiarstvo
shop_herbalist,Bylinkárstvo
shop_hifi,Hi-Fi
shop_houseware,Potreby pre domácnosť
shop_hunting,Lovecké potreby
shop_jewelry,Zlatníctvo
shop_kiosk,Novinový stánok
shop_kitchen,Kuchynské štúdio
shop_laundry,Práčovňa
shop_lottery,Tipovanie
shop_mall,Nákupné centrum
shop_massage,Masáže
shop_mobile_phone,Obchod s mobilnými telefónmi
shop_motorcycle,Motocyklový obchod
shop_music,Hudobniny
shop_musical_instruments,Hudobné nástroje
shop_newsagent,Novinový obchod
shop_optician,Očná optika
shop_organic,Obchod so zdravou výživou
shop_outdoor,Turistický obchod
shop_paint,Farby-laky
shop_pawnbroker,Záložňa
shop_perfumery,Parfuméria
shop_pet,Domáce zvieratá
shop_photo,Fotokino
shop_seafood,Obchod s rybami
shop_shoes,Obuv
shop_sports,Športové potreby
shop_stationery,Papiernictvo
shop_supermarket,Supermarket
shop_tattoo,Tetovacie štúdio
shop_ticket,Vstupenky
shop_toys,Hračkárstvo
shop_trade,Stavebniny
shop_travel_agency,Cestovná kancelária
shop_variety_store,Rozličný tovar
shop_wine,Vinotéka
shop_window,Sklenárstvo/okná
tourism_alpine_hut,Vysokohorská chata
tourism_artwork,Umelecké dielo
tourism_attraction,Atrakcia
tourism_bed_and_breakfast,Nocľah a raňajky
tourism_camp_site,Kemping
tourism_caravan_site,Autokemping
tourism_chalet,Veľká chata
tourism_guest_house,Penzión
tourism_hostel,Ubytovňa
tourism_hotel,Hotel
tourism_information,Informácie
tourism_lean_to,Prístrešok
tourism_motel,Motel
tourism_museum,Múzeum
tourism_picnic_site,Výletné miesto
tourism_theme_park,Zábavný park
tourism_viewpoint,Rozhľadňa/vyhliadka
tourism_zoo,Zoo
man_made_waterway_boatyard,Lodenica
man_made_waterway_canal,Kanál
man_made_waterway_dam,Priehrada,hrádza
man_made_waterway_derelict_canal,Opustený kanál
man_made_waterway_ditch,Priekopa
man_made_waterway_dock,Dok
man_made_waterway_drain,Odvodňovací kanál
man_made_waterway_lock,Plavebná komora
man_made_waterway_lock_gate,Brána plavebnej komory
man_made_waterway_mineral_spring,Minerálny prameň
man_made_waterway_mooring,Kotvisko
man_made_waterway_river,Rieka
man_made_waterway_riverbank,Breh rieky
man_made_waterway_stream,Potok
man_made_waterway_wadi,Občasné riečisko
man_made_waterway_water_point,Vodný bod
man_made_waterway_waterfall,Vodopád
man_made_waterway_weir,Vzdúvacia hrádza
office_lawyer,Právnik
barrier,Prekážka
barrier_block,Blok
barrier_bollard,Stĺpik
barrier_border_control,Hraničná kontrola
barrier_city_wall,Hradby
barrier_fence,Plot
barrier_gate,Brána
barrier_hedge,Živý plot
barrier_lift_gate,Závora
barrier_kerb,Obrubník
barrier_swing_gate,Otočná závora
barrier_turnstile,Turniket
barrier_wall,Múr
traffic_calming_bump,Malý spomaľovač
traffic_calming_table,Veľký spomaľovač
man_made_bridge,Most
man_made_chimney,Komín
man_made_flagpole,Vlajkový stožiar
man_made_mast,Stožiar
man_made_monitoring_station,Meracia stanica
man_made_reservoir_covered,Krytá vodná nádrž
man_made_surveillance,Bezpečnostná kamera
man_made_storage_tank,Nádrž
man_made_pier,Mólo
man_made_tower,Veža
man_made_tower:type,Typ veže
man_made_tower:type_communication,Telekomunikačná
man_made_watermill,Mlyn
man_made_water_tower,Vodojem
surface,Povrch
surface_asphalt,Asfalt
surface_compacted,Zhutnený
surface_concrete,Betón
surface_fine_gravel,Jemný štrk
surface_grass,Tráva
surface_grass_paver,Zatrávňovacie panely
surface_gravel,Štrk
surface_ground,Zem
surface_mud,Blato
surface_paved,Spevnený
surface_paving_stones,Dlažobné tvárnice
surface_unpaved,Nespevnený
surface_sett,Hranaté kamene
surface_wood,Drevo
addr:housenumber,Číslo domu
ele,Nadmorská výška
embankment,Násyp
height,Výška
landmark,Významný bod
maxheight,Max.výška
ref,Referenčné číslo
religion,Náboženstvo
religion_christian,Kresťanstvo
service_times,Čas bohoslužieb
other_clock,Hodiny
other_internet_access,Internetové pripojenie
other_internet_access_wifi,Wifi
other_internet_access_wired,Kábel
other_internet_access_wlan,Wifi
